Date,Asset,Raw_Close
2019-09-26,AVUV,50.20199966430664
2019-09-27,AVUV,49.99399948120117
2019-09-30,AVUV,50.111000061035156
2019-10-01,AVUV,49.0629997253418
2019-10-02,AVUV,48.358001708984375
2019-10-03,AVUV,48.327999114990234
2019-10-04,AVUV,48.71500015258789
2019-10-07,AVUV,48.65999984741211
2019-10-08,AVUV,47.770999908447266
2019-10-09,AVUV,48.189998626708984
2019-10-10,AVUV,48.3489990234375
2019-10-11,AVUV,49.40999984741211
2019-10-14,AVUV,49.143001556396484
2019-10-15,AVUV,49.643001556396484
2019-10-16,AVUV,49.79999923706055
2019-10-17,AVUV,50.25600051879883
2019-10-18,AVUV,50.117000579833984
2019-10-21,AVUV,50.59700012207031
2019-10-22,AVUV,50.915000915527344
2019-10-23,AVUV,51.20100021362305
2019-10-24,AVUV,51.04899978637695
2019-10-25,AVUV,51.643001556396484
2019-10-28,AVUV,52.060001373291016
2019-10-29,AVUV,52.27399826049805
2019-10-30,AVUV,51.698001861572266
2019-10-31,AVUV,51.17599868774414
2019-11-01,AVUV,52.1609992980957
2019-11-04,AVUV,53.191001892089844
2019-11-05,AVUV,53.459999084472656
2019-11-06,AVUV,53.020999908447266
2019-11-07,AVUV,53.31999969482422
2019-11-08,AVUV,53.34199905395508
2019-11-11,AVUV,53.1150016784668
2019-11-12,AVUV,53.15700149536133
2019-11-13,AVUV,52.70800018310547
2019-11-14,AVUV,52.595001220703125
2019-11-15,AVUV,52.74399948120117
2019-11-18,AVUV,52.361000061035156
2019-11-19,AVUV,52.15800094604492
2019-11-20,AVUV,51.676998138427734
2019-11-21,AVUV,51.56399917602539
2019-11-22,AVUV,51.7760009765625
2019-11-25,AVUV,52.7599983215332
2019-11-26,AVUV,52.573001861572266
2019-11-27,AVUV,52.77000045776367
2019-11-29,AVUV,52.40800094604492
2019-12-02,AVUV,51.9370002746582
2019-12-03,AVUV,51.44900131225586
2019-12-04,AVUV,51.92499923706055
2019-12-05,AVUV,52.10900115966797
2019-12-06,AVUV,52.9119987487793
2019-12-09,AVUV,52.99300003051758
2019-12-10,AVUV,52.935001373291016
2019-12-11,AVUV,53.09299850463867
2019-12-12,AVUV,54.029998779296875
2019-12-13,AVUV,53.45000076293945
2019-12-16,AVUV,53.89400100708008
2019-12-17,AVUV,54.35900115966797
2019-12-18,AVUV,54.52000045776367
2019-12-19,AVUV,54.520999908447266
2019-12-20,AVUV,54.452999114990234
2019-12-23,AVUV,54.24700164794922
2019-12-24,AVUV,54.284000396728516
2019-12-26,AVUV,54.28300094604492
2019-12-27,AVUV,53.92900085449219
2019-12-30,AVUV,53.970001220703125
2019-12-31,AVUV,54.2599983215332
2020-01-02,AVUV,53.94300079345703
2020-01-03,AVUV,53.77299880981445
2020-01-06,AVUV,53.70899963378906
2020-01-07,AVUV,53.555999755859375
2020-01-08,AVUV,53.35100173950195
2020-01-09,AVUV,53.14500045776367
2020-01-10,AVUV,52.73500061035156
2020-01-13,AVUV,53.07899856567383
2020-01-14,AVUV,53.26100158691406
2020-01-15,AVUV,53.07899856567383
2020-01-16,AVUV,53.82099914550781
2020-01-17,AVUV,53.573001861572266
2020-01-21,AVUV,52.71099853515625
2020-01-22,AVUV,52.55400085449219
2020-01-23,AVUV,52.66999816894531
2020-01-24,AVUV,51.86000061035156
2020-01-27,AVUV,50.87200164794922
2020-01-28,AVUV,51.28900146484375
2020-01-29,AVUV,50.9010009765625
2020-01-30,AVUV,50.823001861572266
2020-01-31,AVUV,49.51100158691406
